-0.2e-3,0.25,4,1
-0.2e-3,0.25,4,2
-0.2e-3,0.25,4,3
-0.2e-3,0.25,4,4
-0.2e-3,0.25,4,5 
-0.2e-3,0.25,4,46
-0.2e-3,0.25,4,47
-0.2e-3,0.25,4,48
-0.2e-3,0.25,4,49
-0.2e-3,0.25,4,50
-0.2e-3,0.125,8,1
-0.2e-3,0.125,8,2
-0.2e-3,0.125,8,3
-0.2e-3,0.125,8,4
-0.2e-3,0.125,8,5
-0.2e-3,0.125,8,46
-0.2e-3,0.125,8,47
-0.2e-3,0.125,8,48
-0.2e-3,0.125,8,49
-0.2e-3,0.125,8,50
-0.2e-3,0.0834,12,1
-0.2e-3,0.0834,12,2
-0.2e-3,0.0834,12,3
-0.2e-3,0.0834,12,4
-0.2e-3,0.0834,12,5
-0.2e-3,0.0834,12,46
-0.2e-3,0.0834,12,47
-0.2e-3,0.0834,12,48
-0.2e-3,0.0834,12,49
-0.2e-3,0.0834,12,50
-0.2e-3,0.05,20,1
-0.2e-3,0.05,20,2
-0.2e-3,0.05,20,3
-0.2e-3,0.05,20,4
-0.2e-3,0.05,20,5
-0.2e-3,0.04167,24,1
-0.2e-3,0.04167,24,2
-0.2e-3,0.04167,24,3
-0.2e-3,0.04167,24,4
-0.2e-3,0.04167,24,5
-0.2e-3,0.04167,24,46
-0.2e-3,0.04167,24,47
-0.2e-3,0.04167,24,48
-0.2e-3,0.04167,24,49
-0.2e-3,0.04167,24,50
-0.2e-3,0.0334,30,1
-0.2e-3,0.0334,30,2
-0.2e-3,0.0334,30,3
-0.2e-3,0.0334,30,4
-0.2e-3,0.0334,30,5
-0.2e-3,0.0334,30,46
-0.2e-3,0.0334,30,47
-0.2e-3,0.0334,30,48
-0.2e-3,0.0334,30,49
-0.2e-3,0.0334,30,50
-0.2e-3,0.025,40,1
-0.2e-3,0.025,40,2
-0.2e-3,0.025,40,3
-0.2e-3,0.025,40,4
-0.2e-3,0.025,40,5
-0.2e-3,0.025,40,46
-0.2e-3,0.025,40,47
-0.2e-3,0.025,40,48
-0.2e-3,0.025,40,49
-0.2e-3,0.025,40,50
-0.2e-3,0.0167,60,1
-0.2e-3,0.0167,60,2
-0.2e-3,0.0167,60,3
-0.2e-3,0.0167,60,4
-0.2e-3,0.0167,60,5
-0.2e-3,0.0167,60,46
-0.2e-3,0.0167,60,47
-0.2e-3,0.0167,60,48
-0.2e-3,0.0167,60,49
-0.2e-3,0.0167,60,50
